CODIGO;DENOMINACION_GENERICA_ES;DENOMINACION_GENERICA_VAL;DENOMINACION_ESPECIFICA;DENOMINACION;REGIMEN;TIPO_VIA;DIRECCION;NUMERO;CODIGO_POSTAL;LOCALIDAD;PROVINCIA;TELEFONO;FAX;COD_EDIFICACION;TITULARIDAD;CIF;COMARCA;URL_ES;URL_VA
3010843;INSTITUTO DE EDUCACIÓN SECUNDARIA;INSTITUT D'EDUCACIÓ SECUNDÀRIA;IES L'ALMADRAVA;IES L'ALMADRAVA;PÚB.;CARRER;DEL LLAÜT (SALT DE L'AIGUA);10;3503;BENIDORM;ALICANTE/ALACANT;966816075;;1;GENERALITAT VALENCIANA;Q5355445G;LA MARINA BAIXA;https://www.ceice.gva.es/web/centros-docentes/ficha-centro?codi=03010843;https://www.ceice.gva.es/va/web/centros-docentes/ficha-centro?codi=03010843
3011537;COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA;COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA;CEIP LES ROTES;CEIP LES ROTES;PÚB.;CARRER;ALCOI;26;3590;ALTEA;ALICANTE/ALACANT;966870765;;1;GENERALITAT VALENCIANA;Q5355146A;LA MARINA BAIXA;https://www.ceice.gva.es/web/centros-docentes/ficha-centro?codi=03011537;https://www.ceice.gva.es/va/web/centros-docentes/ficha-centro?codi=03011537
3013923;COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA;COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA;CEIP ROMUALDO BALLESTER;CEIP ROMUALDO BALLESTER;PÚB.;URBANITZACIÓ;LOS ALTOS;S/N;3185;TORREVIEJA;ALICANTE/ALACANT;965290155;;1;GENERALITAT VALENCIANA;Q5350010D;EL BAIX SEGURA/LA VEGA BAJA;https://www.ceice.gva.es/web/centros-docentes/ficha-centro?codi=03013923;https://www.ceice.gva.es/va/web/centros-docentes/ficha-centro?codi=03013923
3014459;ESCUELA PRIVADA DE MÚSICA;ESCOLA PRIVADA DE MÚSICA;ESCOLA PRIVADA DE MÚSICA;ESCOLA PRIVADA DE MÚSICA;PRIV.;PLAÇA;CONSTITUCIÓN;7;3560;CAMPELLO (EL);ALICANTE/ALACANT;965636194;;1;NO CONSTA.;G03133485;L'ALACANTÍ;https://www.ceice.gva.es/web/centros-docentes/ficha-centro?codi=03014459;https://www.ceice.gva.es/va/web/centros-docentes/ficha-centro?codi=03014459
3014903;CENTRO PRIVADO FORMACIÓN PROFESIONAL ESPECÍFICA;CENTRE PRIVAT FORMACIÓ PROFESSIONAL ESPECÍFICA;CENTRE PRIVAT FP PELUQUERÍA IMPAKTO;CENTRE PRIVAT FP PELUQUERÍA IMPAKTO;PRIV. CONC.;AVINGUDA;DE GATA DE GORGOS;2;3700;DÉNIA;ALICANTE/ALACANT;965788102;965788102;1;NO CONSTA.;B03858677;LA MARINA ALTA;https://www.ceice.gva.es/web/centros-docentes/ficha-centro?codi=03014903;https://www.ceice.gva.es/va/web/centros-docentes/ficha-centro?codi=03014903
3015294;CENTRO PRIVADO FORMACIÓN PROFESIONAL ESPECÍFICA;CENTRE PRIVAT FORMACIÓ PROFESSIONAL ESPECÍFICA;CENTRE PRIVAT FP ALBA FORMACIÓN;CENTRE PRIVAT FP ALBA FORMACIÓN;PRIV.;CARRER;CAPITÁN DEMA;12;3007;ALACANT;ALICANTE/ALACANT;965117143;965117143;1;PRIVADA.;04584881S;L'ALACANTÍ;https://www.ceice.gva.es/web/centros-docentes/ficha-centro?codi=03015294;https://www.ceice.gva.es/va/web/centros-docentes/ficha-centro?codi=03015294
3015488;CENTRO PÚBLICO DE FORMACIÓN DE PERSONAS ADULTAS;CENTRE PÚBLIC DE FORMACIÓ DE PERSONES ADULTES;CENTRE PÚBLIC FPA PLA DE LA VALLONGA;CENTRE PÚBLIC FPA PLA DE LA VALLONGA;PÚB.;CARRETERA;MADRID-ALACANT;S/N;3113;ALACANT;ALICANTE/ALACANT;965918245;;1;GENERALITAT VALENCIANA;Q0300575H;L'ALACANTÍ;https://www.ceice.gva.es/web/centros-docentes/ficha-centro?codi=03015488;https://www.ceice.gva.es/va/web/centros-docentes/ficha-centro?codi=03015488
12000224;COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA;COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA;CEIP BOQUERES;CEIP BOQUERES;PÚB.;CARRER;CONSTITUCIÓ ESPANYOLA;52;12550;ALMASSORA;CASTELLÓN/CASTELLÓ;964738320;;1;GENERALITAT VALENCIANA;Q6255008B;LA PLANA ALTA;https://www.ceice.gva.es/web/centros-docentes/ficha-centro?codi=12000224;https://www.ceice.gva.es/va/web/centros-docentes/ficha-centro?codi=12000224
12000352;COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA;COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA;CEIP CARME MARTIN;CEIP CARME MARTIN;PÚB.;PLAÇA;DE LA GENERALITAT;S/N;12527;ARTANA;CASTELLÓN/CASTELLÓ;964738335;;1;GENERALITAT VALENCIANA;Q6255011F;LA PLANA BAIXA;https://www.ceice.gva.es/web/centros-docentes/ficha-centro?codi=12000352;https://www.ceice.gva.es/va/web/centros-docentes/ficha-centro?codi=12000352
12000391;COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA;COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA;CEIP CERVANTES-DUALDE;CEIP CERVANTES-DUALDE;PÚB.;CARRER;TRINITAT;S/N;12549;BETXÍ;CASTELLÓN/CASTELLÓ;964738340;;1;GENERALITAT VALENCIANA;Q6255149D;LA PLANA BAIXA;https://www.ceice.gva.es/web/centros-docentes/ficha-centro?codi=12000391;https://www.ceice.gva.es/va/web/centros-docentes/ficha-centro?codi=12000391
12000479;CENTRO PRIVADO DE EDUCACIÓN INFANTIL;CENTRE PRIVAT D'EDUCACIÓ INFANTIL;CENTRE PRIV. ED. INFANTIL MAGDALA;CENTRE PRIV. ED. INFANTIL MAGDALA;PRIV;CARRER;SANTS MÀRTIRS;27;12580;BENICARLÓ;CASTELLÓN/CASTELLÓ;652481010;;1;PRIVADA.;B12694097;EL BAIX MAESTRAT;https://www.ceice.gva.es/web/centros-docentes/ficha-centro?codi=12000479;https://www.ceice.gva.es/va/web/centros-docentes/ficha-centro?codi=12000479
12000625;COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA;COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA;CEIP FRANCESC ROCA I ALCAIDE;CEIP FRANCESC ROCA I ALCAIDE;PÚB.;CARRER;THOMAS ALVA EDISON;1;12530;BORRIANA;CASTELLÓN/CASTELLÓ;964738360;;1;GENERALITAT VALENCIANA;Q6255152H;LA PLANA BAIXA;https://www.ceice.gva.es/web/centros-docentes/ficha-centro?codi=12000625;https://www.ceice.gva.es/va/web/centros-docentes/ficha-centro?codi=12000625
12000662;CENTRO PRIVADO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA;CENTRE PRIVAT D'EDUCACIÓ INFANTIL, PRIMÀRIA I SECUNDÀRIA;CENTRE PRIVAT NUESTRA SEÑORA DE LA CONSOLACIÓN;CENTRE PRIVAT NUESTRA SEÑORA DE LA CONSOLACIÓN;PRIV. CONC.;CARRER;SANTA MARÍA ROSA MOLAS;28;12530;BORRIANA;CASTELLÓN/CASTELLÓ;964510293;964511085;1;NO CONSTA.;R1200062F;LA PLANA BAIXA;https://www.ceice.gva.es/web/centros-docentes/ficha-centro?codi=12000662;https://www.ceice.gva.es/va/web/centros-docentes/ficha-centro?codi=12000662
46000171;COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA;COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA;CEIP BONAVISTA;CEIP BONAVISTA;PÚB.;CARRER;BONAVISTA;S/N;46970;ALAQUÀS;VALENCIA/VALÈNCIA;961205520;;1;GENERALITAT VALENCIANA;Q9655236I;L'HORTA SUD;https://www.ceice.gva.es/web/centros-docentes/ficha-centro?codi=46000171;https://www.ceice.gva.es/va/web/centros-docentes/ficha-centro?codi=46000171
46000183;CENTRO PRIVADO DE EDUCACIÓN INFANTIL;CENTRE PRIVAT D'EDUCACIÓ INFANTIL;CENTRE PRIV. ED. INFANTIL LA INMACULADA;CENTRE PRIV. ED. INFANTIL LA INMACULADA;PRIV. CONC.;CARRER;PÒSIT;6;46860;ALBAIDA;VALENCIA/VALÈNCIA;962900333;962900333;1;PRIVADA.;R4600119D;LA VALL D'ALBAIDA;https://www.ceice.gva.es/web/centros-docentes/ficha-centro?codi=46000183;https://www.ceice.gva.es/va/web/centros-docentes/ficha-centro?codi=46000183
46000262;COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA;COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA;CEIP SAN BLAS;CEIP SAN BLAS;PÚB.;AVINGUDA;CORTS VALENCIANES;34;46470;ALBAL;VALENCIA/VALÈNCIA;961205430;;1;GENERALITAT VALENCIANA;Q9655248D;L'HORTA SUD;https://www.ceice.gva.es/web/centros-docentes/ficha-centro?codi=46000262;https://www.ceice.gva.es/va/web/centros-docentes/ficha-centro?codi=46000262
12000391;COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA;COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA;CEIP CERVANTES-DUALDE;CEIP CERVANTES-DUALDE;PÚB.;CARRER;TRINITAT;S/N;12549;BETXÍ;CASTELLÓN/CASTELLÓ;964738340;;1;GENERALITAT VALENCIANA;Q6255149D;LA PLANA BAIXA;https://www.ceice.gva.es/web/centros-docentes/ficha-centro?codi=12000391;https://www.ceice.gva.es/va/web/centros-docentes/ficha-centro?codi=12000391
46000675;COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA;COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA;CEIP ALBORXÍ;CEIP ALBORXÍ;PÚB.;AVINGUDA;LUIS SUÑER;27;;ALZIRA;VALENCIA/VALÈNCIA;962457515;;1;GENERALITAT VALENCIANA;Q9655291D;LA RIBERA ALTA;https://www.ceice.gva.es/web/centros-docentes/ficha-centro?codi=46000675;https://www.ceice.gva.es/va/web/centros-docentes/ficha-centro?codi=46000675
46023641;CENTRO PRIVADO DE EDUCACIÓN INFANTIL;CENTRE PRIVAT D'EDUCACIÓ INFANTIL;CENTRE PRIV. ED. INFANTIL BETANIA;CENTRE PRIV. ED. INFANTIL BETANIA;PRIV. CONC.;CARRER;ARGENTERIA;73;46800;XÀTIVA;VALENCIA/VALÈNCIA;962280938;962280938;1;NO CONSTA.;F46997656;LA COSTERA;https://www.ceice.gva.es/web/centros-docentes/ficha-centro?codi=46023641;https://www.ceice.gva.es/va/web/centros-docentes/ficha-centro?codi=46023641
46023730;ESCUELA PRIVADA DE MÚSICA;ESCOLA PRIVADA DE MÚSICA;ESCOLA PRIVADA DE MÚSICA JOSÉ SERRA SERRA -PEPE RAFAELA-;ESCOLA PRIVADA DE MÚSICA JOSÉ SERRA SERRA -PEPE RAFAELA-;PRIV.;CARRER;MESTRE SERRANO;6;46791;BENIFAIRÓ DE LA VALLDIGNA;VALENCIA/VALÈNCIA;962810498;;1;PRIVADA.;G46171849;LA SAFOR;https://www.ceice.gva.es/web/centros-docentes/ficha-centro?codi=46023730;https://www.ceice.gva.es/va/web/centros-docentes/ficha-centro?codi=46023730
46023882;COLEGIO DE EDUCACIÓN PRIMARIA;COL·LEGI D'EDUCACIÓ PRIMÀRIA;CEP AIORA;CEP AIORA;PÚB.;CARRER;JUSTO Y PASTOR;136;46022;VALÈNCIA;VALENCIA/VALÈNCIA;962566870;;1;GENERALITAT VALENCIANA;Q4601056G;VALENCIA;https://www.ceice.gva.es/web/centros-docentes/ficha-centro?codi=46023882;https://www.ceice.gva.es/va/web/centros-docentes/ficha-centro?codi=46023882
